name,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name
Aquilamon,Digimon,BT16-008,4.0,4.0,3.0,Green,,[Digivolve] [Hawkmon]: Cost 2,Red,Green,Giant Bird,,,4000.0,Free,C,,,"＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon.)
[On Play] [When Digivolving] Delete 1 of your opponent's Digimon with 3000 DP or less.",[When Attacking] [Once Per Turn] Suspend 1 of your opponent's Digimon.,[Digivolve] [Hawkmon]: Cost 2,Digimon Card Game,aquilamon-bt16-008,2024-05-27 15:14:30,Aquilamon,546682.0,['BT-16: Booster Beginning Observer']
Arbormon,Digimon,BT6-049,4.0,5.0,2.0,Green,,,Green,,Cyborg,,Hybrid,5000.0,Variable,U,Hybrid,,You may digivolve this card from your hand onto one of your green Tamers as if the Tamer is a level 3 green Digimon.,,,Digimon Card Game,arbormon-bt6-049,2024-05-27 15:14:30,Arbormon,249755.0,['BT-06: Booster Double Diamond']
Arbormon,Digimon,BT18-047,4.0,5.0,2.0,,,[Digivolve] [Petaldramon]: Cost 0,Green,,Cyborg,,Hybrid,5000.0,Variable,C,Hybrid,,"[On Play] [When Digivolving] By suspending 1 of your green Digimon, suspend 1 of your opponent's Digimon or Tamers.",[When Attacking] [Once Per Turn] Suspend 1 of your opponent's Digimon.,[Digivolve] [Petaldramon]: Cost 0,Digimon Card Game,arbormon-bt18-047,2024-06-10 12:20:18,Arbormon,586931.0,"['BT-18: Booster Elemental Successor', 'BT18-19: Special Booster Ver.2.0']"
Arctic Blizzard,Option,BT2-094,,2.0,,,,,Blue,,,,,,,C,,,"[Main] Choose 1 digivolution card of 1 of your opponent's Digimon and trash it. Then, 1 of your Digimon gets +2000 DP for the turn.",Security Effect [Security] Add this card to the hand.,,Digimon Card Game,arctic-blizzard-bt2-094,2024-05-27 15:14:30,Arctic Blizzard,231715.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution']"
Argomon,Digi-Egg,BT2-004,2.0,,,Green,,,Green,,Mutant,,In-Training,,,U,In-Training,,"Inherited Effect [Your Turn] When this Digimon becomes unsuspended during your unsuspend phase, gain 1 memory.",,,Digimon Card Game,argomon-bt2-004,2024-05-27 15:14:30,Argomon - BT2-004,230987.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution']"
Argomon,Digimon,BT2-042,3.0,2.0,0.0,Green,2.0,,Green,,Mutant,,Rookie,3000.0,Virus,C,Rookie,,,,,Digimon Card Game,argomon-bt2-042,2024-05-27 15:14:30,Argomon - BT2-042,231005.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution']"
Argomon,Digimon,BT2-045,4.0,6.0,2.0,Green,3.0,,Green,,Mutant,,Champion,5000.0,Virus,U,Champion,,"＜Digisorption -2＞ (When one of your Digimon digivolves into this card from your hand, you may suspend 1 of your Digimon to reduce the memory cost of the digivolution by 2)",,,Digimon Card Game,argomon-bt2-045,2024-05-27 15:14:30,Argomon - BT2-045,231692.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution']"
Argomon,Digimon,BT2-047,5.0,8.0,3.0,Green,4.0,,Green,,Mutant,,Ultimate,6000.0,Virus,C,Ultimate,,"＜Digisorption -3＞ (When one of your Digimon digivolves into this card from your hand, you may suspend 1 of your Digimon to reduce the memory cost of the digivolution by 3)",[When Attacking] You may play 1 green level 3 Digimon card from your hand suspended without paying its memory cost.,,Digimon Card Game,argomon-bt2-047,2024-05-27 15:14:30,Argomon - BT2-047,231694.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution', ""Tamer's Selection Box Evolution Cup 2022 Ver.2""]"
Argomon,Digimon,BT2-050,6.0,12.0,5.0,Green,5.0,,Green,,Mutant,,Mega,11000.0,Virus,U,Mega,,"＜Digisorption -3＞ (When one of your Digimon digivolves into this card from your hand, you may suspend 1 of your Digimon to reduce the memory cost of the digivolution by 3)
[Your Turn] For each of your other suspended Digimon, this Digimon gains ＜Security A. +1＞ (This Digimon checks 1 additional security card.)",,,Digimon Card Game,argomon-bt2-050,2024-05-27 15:14:30,Argomon - BT2-050,231006.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.5', 'BTC-01: Booster Ultimate Evolution']"
Argomon,Digi-Egg,BT17-004,2.0,,,,,,Green,,Mutant,,,,,U,,,"Inherited Effect [Opponent's Turn] While this Digimon is [Argomon], it gains ＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.).",,,Digimon Card Game,argomon-bt17-004,2024-05-27 15:14:30,Argomon - BT17-004,561112.0,['BT-17: Booster Secret Crisis']
Argomon,Digimon,BT17-042,3.0,4.0,1.0,,,[Digivolve] Lv.2 [Argomon]: Cost 0,Green,Purple,Mutant,,,2000.0,Virus,C,,,[On Play] Reveal the top 3 cards of your deck. Add 1 [Argomon] and 1 [Rhythm] among them to the hand. Return the rest to the bottom of the deck.,[On Deletion] Gain 1 memory.,[Digivolve] Lv.2 [Argomon]: Cost 0,Digimon Card Game,argomon-bt17-042,2024-05-27 15:14:30,Argomon - BT17-042,561113.0,['BT-17: Booster Secret Crisis']
Argomon,Digimon,BT17-045,4.0,5.0,3.0,,,[Digivolve] Lv.3 [Argomon]: Cost 2,Green,Purple,Mutant,,,5000.0,Virus,C,,,"[When Digivolving] If you don't have [Rhythm], you may play 1 [Rhythm] from your hand without paying the cost.",[On Deletion] Gain 1 memory.,[Digivolve] Lv.3 [Argomon]: Cost 2,Digimon Card Game,argomon-bt17-045,2024-05-27 15:14:30,Argomon - BT17-045,561114.0,['BT-17: Booster Secret Crisis']
Argomon,Digimon,BT17-048,5.0,8.0,5.0,,,[Digivolve] Lv.4 [Argomon]: Cost 4,Green,Purple,Mutant,,,7000.0,Virus,C,,,"When digivolving into this card, by suspending up to 5 Tamers, for each Tamer suspended by this effect, reduce the digivolution cost by 1.
[Opponent's Turn] None of your opponent's Tamers can unsuspend.
[On Deletion] If you have 4 or more [Argomon] in your trash, you may play 1 level 6 [Argomon] from your hand without paying the cost.","[When Attacking] [Once Per Turn] By suspending 1 of your [Rhythm], unsuspend this Digimon.",[Digivolve] Lv.4 [Argomon]: Cost 4,Digimon Card Game,argomon-bt17-048,2024-05-27 15:14:30,Argomon - BT17-048,561115.0,['BT-17: Booster Secret Crisis']
ArkhaiAngemon,Digimon,BT18-038,5.0,6.0,3.0,,,[Digivolve] Lv.4 w/[Angel] trait: Cost 3,Yellow,,Principality,,,6000.0,Vaccine,U,,,"[On Play] [On Deletion] You may place 1 Digimon card with the [Angel], [Archangel] or [Three Great Angels] trait from your hand at the bottom of your security stack. Then, if you have 4 or more security cards, add the top card of your security stack to the hand.",[On Deletion] ＜Recovery +1 (Deck)＞ (Place the top card of your deck on top of your security stack.),[Digivolve] Lv.4 w/[Angel] trait: Cost 3,Digimon Card Game,arkhaiangemon-bt18-038,2024-06-03 12:20:34,ArkhaiAngemon,587302.0,"['BT-18: Booster Elemental Successor', 'BT18-19: Special Booster Ver.2.0']"
Armadillomon,Digimon,BT1-027,3.0,2.0,1.0,Blue,2.0,,Blue,,Mammal,,Rookie,4000.0,Free,C,Rookie,,,,,Digimon Card Game,armadillomon-bt1-027,2024-05-27 15:14:30,Armadillomon,229843.0,"['BT-01: Booster New Evolution', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']"
Armadillomon,Digimon,BT3-032,3.0,3.0,0.0,Yellow,2.0,,Yellow,,Mammal,,Rookie,4000.0,Free,C,Rookie,,,,,Digimon Card Game,armadillomon-bt3-032,2024-05-27 15:14:30,Armadillomon - BT3-032,231739.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']"
Armadillomon,Digimon,BT8-033,3.0,3.0,0.0,Yellow,2.0,,Yellow,,Mammal,,,2000.0,Free,U,,,[On Play] Reveal the top 4 cards of your deck. Add 1 2-color yellow card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,,,Digimon Card Game,armadillomon-bt8-033,2024-05-27 15:14:30,Armadillomon,268868.0,['BT-08: Booster New Awakening']
Armadillomon,Digimon,BT16-049,3.0,3.0,1.0,Yellow,,[Digivolve] [Upamon]: Cost 0,Black,Yellow,Mammal,,,2000.0,Free,C,,,"[Your Turn] [Once Per Turn] When one of your other Digimon is played or digivolves, if it has the [Free] trait or is yellow, gain 1 memory.",[All Turns] This Digimon gets +1000 DP.,[Digivolve] [Upamon]: Cost 0,Digimon Card Game,armadillomon-bt16-049,2024-05-27 15:14:30,Armadillomon,547164.0,['BT-16: Booster Beginning Observer']
Armor Digivolution,Option,BT21-094,,3.0,,,,,Blue,,,,,,,C,,,"[Main] Reveal the top 3 cards of your deck. Add 1 card with [Davis Motomiya] in its name in its name and 1 card with the [Free] trait among them to the hand. Trash the rest. Then, place this card in the battle area.
[All Turns] When the top stacked card of any your [Armor Form] trait Digimon is trashed, ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・1 of your Digimon may digivolve into a Digimon card with the [Armor Form] in the hand without paying the cost.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,armor-digivolution-bt21-094,2025-03-10 12:01:28,Armor Digivolution,623022.0,['BT-21: Booster World Convergence']
Armor Texture!,Option,BT8-110,,0.0,,,,,White,,,,,,,C,,,"While you have a Digimon with the [Armor Form] trait in play, you may use this card without meeting its color requirements.
[Main] Trash the top card of 1 of your Digimon with the [Armor Form] trait. Then, you may digivolve 1 of your Digimon into a Digimon card in your hand with the [Armor Form] trait for its digivolution cost. If you do, unsuspend that Digimon.",Security Effect [Security] You may play 1 level 3 Digimon card with the [Free] trait from your hand or trash without paying its memory cost.,,Digimon Card Game,armor-texture-bt8-110,2024-05-27 15:14:30,Armor Texture!,268312.0,"['BT-08: Booster New Awakening', 'LM-02: Limited Card Pack DeathXmon', 'Revision Pack 2023']"
Arresterdramon,Digimon,BT12-077,4.0,6.0,2.0,,,[Digivolve] Lv.3 w/＜Save＞ in text: Cost 2,Purple,,Dragon,,,5000.0,Vaccine,U,,,"[When Digivolving] If there are 2 or more digivolution cards under this Digimon, this Digimon gains ＜Rush＞ for the turn. (This Digimon can attack the turn it comes into play.)
[On Deletion] ＜Save＞ Then, place 1 Digimon card with ＜Save＞ in its text from your trash under 1 of your Tamers.","[When Attacking] [Once Per Turn] If this Digimon has ＜Save＞ in its text, ＜Draw 1＞ (Draw 1 card from your deck.)",[Digivolve] Lv.3 w/＜Save＞ in text: Cost 2,Digimon Card Game,arresterdramon-bt12-077,2024-05-27 15:14:30,Arresterdramon (Box Topper),490693.0,"['Box Promotion Pack: Across Time', 'BT-12: Booster Across Time']"
Arresterdramon,Digimon,BT21-066,4.0,6.0,3.0,,,[Digivolve] Lv.3 w/＜Save＞ in text or w/[Hero] trait: Cost 2,Purple,Red,Dragon,Hero,,6000.0,Vaccine,U,,,"[On Play] [When Digivolving] You may play 1 Tamer card with the [Hunter] or [Hero] trait from your hand without paying the cost.
[On Deletion] You may place 1 Digimon card with ＜Save＞ in its text or the [Hero] trait from your hand or trash under any of your Tamers. Then, ＜Save＞ (You may place this card under one of your Tamers.)",[Your Turn] This Digimon gets +2000 DP.,[Digivolve] Lv.3 w/＜Save＞ in text or w/[Hero] trait: Cost 2,Digimon Card Game,arresterdramon-bt21-066,2025-03-16 12:02:48,Arresterdramon,623200.0,"['BT-21: Booster World Convergence', 'Ultimate Cup 2025 Season 2']"
Arukenimon,Digimon,BT3-086,5.0,7.0,3.0,Purple,4.0,,Purple,,Dark Animal,,Ultimate,6000.0,Virus,C,Ultimate,,"[When Attacking] You may pay 3 memory to play 1 [MaloMyotismon] from your hand without paying its memory cost. If you do, delete this Digimon.",,,Digimon Card Game,arukenimon-bt3-086,2024-05-27 15:14:30,Arukenimon,231026.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']"
Arukenimon,Digimon,BT16-072,5.0,6.0,3.0,,,,Purple,,Dark Animal,,,6000.0,Virus,C,,,"＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.)
[On Play] Reveal the top 5 cards of your deck. Trash 2 purple cards among them. Return the rest to the bottom of the deck.
[On Deletion] From your trash and without paying the cost, you may play 1 Tamer card with [Myotismon] in its text and without the same name as any of your Tamers.",,,Digimon Card Game,arukenimon-bt16-072,2024-05-27 15:14:30,Arukenimon,547675.0,['BT-16: Booster Beginning Observer']
Aruraumon,Digimon,BT3-044,3.0,2.0,2.0,Green,2.0,,Green,,Vegetation,,Rookie,5000.0,Data,C,Rookie,,,,,Digimon Card Game,aruraumon-bt3-044,2024-05-27 15:14:30,Aruraumon,231011.0,"['BT-03: Booster Union Impact', 'BT01-03: Release Special Booster Ver.1.5']"
Assaultmon,Digimon,BT10-065,5.0,7.0,3.0,,,,Black,,Cyborg,,,10000.0,Virus,C,,,,,,Digimon Card Game,assaultmon-bt10-065,2024-05-27 15:14:30,Assaultmon,450362.0,['BT-10: Booster Xros Encounter']
Astamon,Digimon,BT12-081,5.0,7.0,3.0,,,"[Digivolve] [Psychemon]: Cost 5 
[Digivolve] Yellow, Green, or Purple Lv.4 w/＜Save＞ in text: Cost 3",Purple,,Wizard,,,7000.0,Virus,U,,,"[When Digivolving] You may play 1 level 4 or lower Digimon card with ＜Save＞ in its text from under one of your Tamers without paying the cost. If this Digimon has 4 or more digivolution cards, it may digivolve into [Quartzmon] in your hand or from under one of your Tamers and reduce the digivolution cost by 3 instead.","[When Attacking] [Once Per Turn] If this Digimon has ＜Save＞ in its text, ＜Draw 1＞ (Draw 1 card from your deck.)","[Digivolve] [Psychemon]: Cost 5 
[Digivolve] Yellow, Green, or Purple Lv.4 w/＜Save＞ in text: Cost 3",Digimon Card Game,astamon-bt12-081,2024-05-27 15:14:30,Astamon (Box Topper),490698.0,"['Box Promotion Pack: Across Time', 'BT-12: Booster Across Time']"
Astamon,Digimon,BT13-084,5.0,7.0,3.0,,,,Purple,,Wizard,,,7000.0,Virus,C,,,[On Play] [When Digivolving] You may delete 1 of your other purple Digimon to digivolve this Digimon into a Digimon card with [Belphemon] in its name in your hand without paying its digivolution cost.,"[Opponent's Turn] [Once Per Turn] When a card is trashed from your hand, you may play 1 level 4 or lower purple Digimon card from your trash without paying its cost.",,Digimon Card Game,astamon-bt13-084,2024-05-27 15:14:30,Astamon,504282.0,"['BT-13: Booster Versus Royal Knights', 'LM-02: Limited Card Pack DeathXmon']"
Astral Snatcher,Option,BT11-109,,7.0,,,,,Purple,,,,,,,U,,,"[Main] You may place up to 3 Digimon cards with the [Bagra Army] trait from your trash under 1 of your Digimon as its bottom digivolution cards or under 1 of your Tamers. Then, if you have a Digimon or Tamer with the [Bagra Army] trait in play, place 1 of your opponent's Digimon under 1 of your opponent's other Digimon as its bottom digivolution card.",Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,astral-snatcher-bt11-109,2024-05-27 15:14:30,Astral Snatcher,477792.0,['BT-11: Booster Dimensional Phase']
Asuramon,Digimon,BT6-014,5.0,7.0,3.0,,,,Red,,Wizard,,,8000.0,Vaccine,C,,,"[When Digivolving] ＜Blitz＞ (If your opponent has 1 or more memory, this Digimon may attack.)",,,Digimon Card Game,asuramon-bt6-014,2024-05-27 15:14:30,Asuramon,249722.0,['BT-06: Booster Double Diamond']
Asuramon,Digimon,BT10-010,5.0,7.0,2.0,,,,Red,,Wizard,,,8000.0,Vaccine,C,,,,,,Digimon Card Game,asuramon-bt10-010,2024-05-27 15:14:30,Asuramon,287853.0,['BT-10: Booster Xros Encounter']
Atamadekachimon,Digimon,BT9-010,4.0,5.0,2.0,,,,Red,,Dinosaur,,,7000.0,Data,C,,,,,,Digimon Card Game,atamadekachimon-bt9-010,2024-05-27 15:14:30,Atamadekachimon,277751.0,['BT-09: Booster X Record']
Atomic Blaster,Option,ST7-12,,5.0,,,,,Red,,,,,,,C,,,[Main] Choose any number of your opponent's Digimon whose total DP adds up to 8000 or less and delete them.,Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,atomic-blaster-st7-12,2024-05-27 15:14:30,Atomic Blaster,247694.0,['ST-7: Starter Deck Gallantmon']
Atomic Inferno,Option,BT4-098,,1.0,,,,,Red,,,,,,,C,,,"[Main] 1 of your Digimon with the [Hybrid] trait gets +3000 DP, ＜Security A. +1＞ (This Digimon checks 1 additional security card.), and ""[Your Turn] When this Digimon is blocked, gain +3 memory"" for the turn.",Security Effect [Security] All of your Digimon gain ＜Security A. +1＞ (This Digimon checks 1 additional security card.) until the end of your next turn.,,Digimon Card Game,atomic-inferno-bt4-098,2024-05-27 15:14:30,Atomic Inferno,238205.0,"['BT-04: Booster Great Legend', 'LM-02: Limited Card Pack DeathXmon']"
Atomic Megalo Blaster,Option,BT9-094,,6.0,,,,,Red,,,,,,,U,,,[Main] Choose any number of your opponent's Digimon whose total DP adds up to 10000 or less and delete them.,Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,atomic-megalo-blaster-bt9-094,2024-05-27 15:14:30,Atomic Megalo Blaster,277722.0,['BT-09: Booster X Record']
Atomic Ray,Option,BT2-104,,3.0,,,,,Black,,,,,,,C,,,[Main] Unsuspend 1 of your Digimon with ＜Blocker＞.,Security Effect [Security] Unsuspend all of your Digimon with ＜Blocker＞ and they get +5000 DP for the turn.,,Digimon Card Game,atomic-ray-bt2-104,2024-05-27 15:14:30,Atomic Ray,229957.0,"['BT-02: Booster Ultimate Power', 'BT01-03: Release Special Booster Ver.1.0', 'BTC-01: Booster Ultimate Evolution']"
Attack of the Heavy Mobile Digimon!,Option,BT9-102,,0.0,,,,,Black,,,,,,,C,,,"[Main] You may trash 1 card with the [Cyborg] or [Machine] trait from your hand to have all of your level 6 Digimon with the [Machine] trait gain ＜Rush＞ (This Digimon can attack the turn it comes into play.) and ""[On Play] If this Digimon has a digivolution card, ＜Blitz＞"" (If your opponent has 1 or more memory, this Digimon may attack.), for the turn.",Security Effect [Security] You may trash 1 card with the [Cyborg] or [Machine] trait in your hand to delete 1 of your opponent's Digimon whose play cost less than or equal to the trashed card's play cost.,,Digimon Card Game,attack-of-the-heavy-mobile-digimon-bt9-102,2024-05-27 15:14:30,Attack of the Heavy Mobile Digimon!,277750.0,['BT-09: Booster X Record']
Aus Generics,Option,ST12-14,,1.0,,,,,Red,,,,,,,C,,,"[Main] 1 of your Digimon gets +2000 DP for the turn. Then, if you have a Digimon with [Huckmon] in its name or [Royal Knight] trait in play, gain 1 memory , and 1 of your Digimon gains ＜Piercing＞ for the turn. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","Security Effect [Security] Gain 1 memory, and add this card to its owner's hand.",,Digimon Card Game,aus-generics-st12-14,2024-05-27 15:14:30,Aus Generics,285772.0,['ST-12: Starter Deck Jesmon']
AvengeKidmon,Digimon,BT7-015,6.0,12.0,3.0,Red,,,Red,,Dragonkin,,,11000.0,Virus,U,,,"When you would play this card from your hand, reduce its memory cost by 1 for each Option card in you and your opponent's trashes.
[On Play] Return all cards with the [Three Musketeers] trait and all Option cards from both players' trashes to the bottom of their owners' decks. If 7 or more cards were returned using this effect, delete 1 of your opponent's Digimon with the [Three Musketeers] trait or 8000 DP or less.",,,Digimon Card Game,avengekidmon-bt7-015,2024-05-27 15:14:30,AvengeKidmon,264328.0,['BT-07: Booster Next Adventure']
Awakening of the Golden Knight,Option,BT9-098,,3.0,,,,,Yellow,,,,,,,C,,,"While you have a Digimon with the [Armor Form] trait in play, you may use this card without meeting its color requirements.
[Main] You may digivolve 1 of your Digimon with the [Armor Form] trait into a Digimon card with [Magnamon] in its name in your hand, ignoring its digivolution requirements and without paying its memory cost. The Digimon that digivolved with this effect can't have its DP reduced by your opponent's card effects until the end of your opponent's turn.","Security Effect [Security] Return 1 card with [Magnamon] in its name from your trash to your hand, and add this card to your hand.",,Digimon Card Game,awakening-of-the-golden-knight-bt9-098,2024-05-27 15:14:30,Awakening of the Golden Knight,277740.0,['BT-09: Booster X Record']
Awakening of the Sun,Option,BT17-099,,3.0,,,,,Yellow,,,,,,,U,,,"[Main] You may play 1 [Marcus Damon] or [Rhythm] from your hand or trash without paying the cost. Then, place this card in the battle area.
[All Turns] When one of your Tamers is deleted or returned to the hand, ＜Delay＞ (By trashing this card after the placing turn, activate the effect below.)
・1 of your Digimon may digivolve into a Digimon card with [ShineGreymon] in its name in the hand without paying the cost.","Security Effect [Security] You may play 1 card with [Marcus Damon] or [Rhythm] in its name from your hand or trash without paying the cost. Then, place this card in the battle area.",,Digimon Card Game,awakening-of-the-sun-bt17-099,2024-05-27 15:14:30,Awakening of the Sun,561109.0,"['BT-17: Booster Secret Crisis', 'Secret Crisis: Movie Memorial Pack']"
Baalmon,Digimon,BT10-081,5.0,7.0,3.0,Purple,4.0,,Purple,,Wizard,Bagra Army,Ultimate,7000.0,Free,C,Ultimate,,"[When Attacking] You may trash up to 3 cards from the top of your deck.
[On Deletion] If you have 10 or more cards in your trash, you may play 1 [Beelzemon] from your trash without paying its memory cost.",,,Digimon Card Game,baalmon-bt10-081,2024-05-27 15:14:30,Baalmon,285874.0,"['BT-10: Booster Xros Encounter', 'Tamer Battle Pack 19']"
Baalmon (X Antibody),Digimon,BT12-082,5.0,8.0,3.0,,,[Digivolve] [Baalmon]: Cost 0,Purple,,Wizard,X Antibody,,8000.0,Free,U,,,"[When Digivolving] Return 1 [X Antibody] from your trash to your hand.
[When Digivolving] Trash the top 3 cards of your deck. If this Digimon has [Baalmon] or [X Antibody] in its digivolution cards, delete 1 of your opponent's level 4 or lower Digimon instead.",[Your Turn] While this Digimon has the [Wizard] or [Demon Lord] trait it gets +2000 DP.,[Digivolve] [Baalmon]: Cost 0,Digimon Card Game,baalmon-x-antibody-bt12-082,2024-05-27 15:14:30,Baalmon (X Antibody),493417.0,['BT-12: Booster Across Time']
Babamon,Digimon,BT6-042,6.0,11.0,3.0,Yellow,,,Yellow,,Ancient,,,10000.0,Vaccine,U,,,[On Deletion] You may play 1 [Rosemon] or up to 2 yellow level 3 Digimon Cards from your trash without paying their memory costs.,,,Digimon Card Game,babamon-bt6-042,2024-05-27 15:14:30,Babamon,249750.0,['BT-06: Booster Double Diamond']
Babamon,Digimon,BT15-041,6.0,10.0,3.0,,,,Yellow,Green,Ancient,,,10000.0,Vaccine,C,,,"[On Play] [On Deletion] 1 of your opponent's Digimon gets -6000 DP until the end of their turn.
[End of Opponent's Turn] By deleting this Digimon, you may play 1 [Rosemon] or [Jijimon] from your hand without paying the cost. Then, activate the [When Digivolving] effects of the Digimon this effect played.",,,Digimon Card Game,babamon-bt15-041,2024-05-27 15:14:30,Babamon,538005.0,['BT-15: Booster Exceed Apocalypse']
Baboongamon,Digimon,BT4-068,4.0,5.0,2.0,Black,3.0,,Black,,Beast,,Champion,4000.0,Vaccine,U,Champion,,"[Main] ＜Digi-Burst 2＞ (You may trash 2 of this Digimon's digivolution cards to activate the effect below)
・＜De-Digivolve 1＞ 1 of your opponent's Digimon. (Trash the top card. You can't trash past level 3 cards.)",,,Digimon Card Game,baboongamon-bt4-068,2024-05-27 15:14:30,Baboongamon,238179.0,['BT-04: Booster Great Legend']
Back for Revenge!,Option,BT3-109,,2.0,,,,,Purple,,,,,,,U,,,"[Main] 1 of your Digimon gains ""[On Deletion] Play this card without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate"" for the turn.",,,Digimon Card Game,back-for-revenge-bt3-109,2024-05-27 15:14:30,Back for Revenge!,229882.0,['BT-03: Booster Union Impact']
Bakemon,Digimon,BT4-080,4.0,5.0,2.0,Purple,3.0,,Purple,,Ghost,,Champion,6000.0,Virus,U,Champion,,,,,Digimon Card Game,bakemon-bt4-080,2024-05-27 15:14:30,Bakemon,238191.0,['BT-04: Booster Great Legend']
Bakemon,Digimon,ST16-06,4.0,4.0,2.0,Purple,3.0,,Purple,,Ghost,,Champion,5000.0,Virus,C,Champion,,"＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.)",,,Digimon Card Game,bakemon-st16-06,2024-05-27 15:14:30,Bakemon,519937.0,"['Demo Deck: ST-16', 'ST-16: Starter Deck Wolf of Friendship']"
Bakemon,Digimon,BT15-073,4.0,4.0,2.0,,,,Purple,,Ghost,,,3000.0,Virus,C,,,"[When Digivolving] [On Deletion] ＜Draw 1＞ (Draw 1 card from your deck.) Then, trash 1 card in your hand.","＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)",,Digimon Card Game,bakemon-bt15-073,2024-05-27 15:14:30,Bakemon,538017.0,['BT-15: Booster Exceed Apocalypse']
Bakemon,Digimon,BT20-068,4.0,4.0,2.0,,,,Purple,,Ghost,LIBERATOR,,4000.0,Virus,C,,,"[When Digivolving] If you have 1 or fewer Tamers, you may play 1 [Violet Inboots] from your hand without paying the cost.",[On Deletion] Gain 1 memory.,,Digimon Card Game,bakemon-bt20-068,2024-12-27 12:01:16,Bakemon,607806.0,"['BT-20: Booster Over the X', 'BT19-20: Special Booster Ver.2.5']"
Bakomon,Digimon,BT6-045,3.0,3.0,0.0,,,,Green,,Mutant,,,2000.0,Data,C,,,"Inherited Effect [When Attacking] If your opponent has 2 or more suspended Digimon, gain 1 memory.",,,Digimon Card Game,bakomon-bt6-045,2024-05-27 15:14:30,Bakomon,249752.0,['BT-06: Booster Double Diamond']
Baldy Blow,Option,ST16-16,,4.0,,,,,Purple,,,,,,,C,,,[Main] Delete 1 of your opponent's level 5 or lower Digimon.,Security Effect [Security] Activate this card's [Main] effects.,,Digimon Card Game,baldy-blow-st16-16,2024-05-27 15:14:30,Baldy Blow,519968.0,[]
Ballistamon,Digimon,BT10-049,4.0,4.0,2.0,,,[Digivolve] Lv.3 w/[Xros Heart] trait: Cost 2,Green,,Machine,Xros Heart,,4000.0,Vaccine,C,,,"[Opponent's Turn] While you have another Digimon or Tamer with the [Xros Heart] trait in play, this Digimon gains ＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.).
[On Deletion] ＜Save＞ (You may place this card under one of your Tamers.)","[Your Turn] While this Digimon has [Shoutmon] in its name, it gains ＜Piercing＞ (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.).",[Digivolve] Lv.3 w/[Xros Heart] trait: Cost 2,Digimon Card Game,ballistamon-bt10-049,2024-05-27 15:14:30,Ballistamon,285763.0,['BT-10: Booster Xros Encounter']
Ballistamon,Digimon,BT19-047,4.0,4.0,3.0,,,,Green,Black,Machine,Xros Heart,,4000.0,Vaccine,C,,,"[On Play] This Digimon may digivolve into [AtlurBallistamon] under your Tamers without paying the cost.
[On Deletion] ＜Save＞ (You may place this card under one of your Tamers.)","[Opponent's Turn] This Digimon with the [Xros Heart] trait gains ＜Blocker＞ (At blocker timing, by suspending this Digimon, it becomes the attack target.).",,Digimon Card Game,ballistamon-bt19-047,2024-09-09 08:05:44,Ballistamon,607295.0,"['BT-19: Booster Xros Evolution', 'BT19-20: Special Booster Ver.2.5']"
Baluchimon,Digimon,BT6-035,4.0,4.0,2.0,Yellow,,,Yellow,,Holy Beast,,,5000.0,Data,C,,,"[On Play] If you have 3 or fewer security cards, ＜Draw 2＞ (Draw 2 cards from your deck.)",,,Digimon Card Game,baluchimon-bt6-035,2024-05-27 15:14:30,Baluchimon,249740.0,['BT-06: Booster Double Diamond']
